School,Program,Result,Result_Date,GPA,Verbal_GRE,Quant_GRE,Writing_GRE,Subject_GRE,Status,Submit_Date,Result_Day,Result_Month,Result_Year,Submit_Day,Submit_Month,Submit_Year,Degree_Type
University Of Virginia,"Statistics, PhD (F14)",Accepted,21 Feb 2014,3.6400000000000001,152.0,168.0,3.0,,I,21 Feb 2014,21,Feb,2014,21,Feb,2014,Phd
Virginia Tech,"Statistics, PhD (F14)",Accepted,21 Feb 2014,,0.0,168.0,0.0,,A,21 Feb 2014,21,Feb,2014,21,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,21 Feb 2014,20,Feb,2014,21,Feb,2014,Phd
UBC,"Statistics, Masters (F14)",Accepted,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Georgia,"Statistics, PhD (F14)",Accepted,18 Feb 2014,,,,,,,20 Feb 2014,18,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.8999999999999999,168.0,168.0,5.5,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.6000000000000001,162.0,164.0,5.0,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.7599999999999998,170.0,163.0,4.5,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.7999999999999998,153.0,168.0,3.5,,U,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.9100000000000001,165.0,168.0,5.5,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
Virginia Tech,"Statistics, Masters (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Notre Dame,"Applied And Computational Math And Statistics, Masters (F14)",Accepted,17 Feb 2014,3.5,162.0,161.0,5.0,,A,20 Feb 2014,17,Feb,2014,20,Feb,2014,Masters
University Of Minnesota,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.71,151.0,157.0,4.5,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Rejected,20 Feb 2014,3.6000000000000001,162.0,164.0,5.0,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
University Of Minnesota,"Statistics, Masters (F14)",Rejected,20 Feb 2014,3.27,152.0,170.0,3.0,,I,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Minnesota,"Statistics, Masters (F14)",Rejected,20 Feb 2014,,153.0,167.0,3.5,,I,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
ETH Zurich,"Statistics, Masters (F14)",Accepted,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Minnesota,"Statistics, PhD (F14)",Rejected,20 Feb 2014,3.46,156.0,170.0,3.5,,I,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
Harvard University,"Statistics Master, Masters (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Minnesota,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F14)",Accepted,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Minnesota,"Statistics, Masters (F14)",Rejected,19 Feb 2014,,,,,,,20 Feb 2014,19,Feb,2014,20,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Statistics, Masters (F14)",Accepted,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Masters
University Of Minnesota,"Statistics, PhD (F14)",Rejected,19 Feb 2014,,,,,,,20 Feb 2014,19,Feb,2014,20,Feb,2014,Phd
Penn State University,"Statistics, PhD (F14)",Accepted,20 Feb 2014,3.9500000000000002,153.0,162.0,3.5,,A,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Rejected,19 Feb 2014,,,,,,,20 Feb 2014,19,Feb,2014,20,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,20 Feb 2014,20,Feb,2014,20,Feb,2014,Phd
Villanova University,"Applied Statistics, Masters (F14)",Accepted,18 Feb 2014,,,,,,,19 Feb 2014,18,Feb,2014,19,Feb,2014,Masters
Columbia University,"Statistics, PhD (F14)",Accepted,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F14)",Accepted,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Statistics, Masters (F14)",Accepted,19 Feb 2014,3.7999999999999998,152.0,168.0,3.5,,I,19 Feb 2014,19,Feb,2014,19,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F14)",Accepted,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F14)",Accepted,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Masters Of Applied Statistics, Masters (F14)",Accepted,19 Feb 2014,3.79,162.0,170.0,3.5,,U,19 Feb 2014,19,Feb,2014,19,Feb,2014,Masters
Virginia Tech,"Statistics, PhD (F14)",Rejected,19 Feb 2014,3.7999999999999998,141.0,161.0,2.5,,U,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
Virginia Tech,"Statistics, PhD (F14)",Accepted,19 Feb 2014,3.48,760.0,640.0,4.5,,A,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
University Of Florida,"Statistics, PhD (F14)",Accepted,19 Feb 2014,3.8999999999999999,156.0,161.0,5.0,,A,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Rejected,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
Duke,"Statistics, PhD (F14)",Rejected,19 Feb 2014,3.8199999999999998,169.0,155.0,3.5,,I,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
NCSU,"Statistics, Masters (F14)",Rejected,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Rejected,18 Feb 2014,,,,,,,19 Feb 2014,18,Feb,2014,19,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,19 Feb 2014,14,Feb,2014,19,Feb,2014,Phd
"University Of Wisconsin, Madison","Statistics, PhD (F14)",Accepted,4 Feb 2014,3.71,151.0,157.0,4.5,,A,19 Feb 2014,4,Feb,2014,19,Feb,2014,Phd
University Of Notre Dame,"Applied And Computational Mathematics And Statistics (ACMS), PhD (F14)",Accepted,16 Feb 2014,3.71,151.0,157.0,4.5,,A,19 Feb 2014,16,Feb,2014,19,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.71,151.0,157.0,4.5,,A,19 Feb 2014,13,Feb,2014,19,Feb,2014,Phd
University Of Georgia,"Statistics, PhD (F14)",Accepted,19 Feb 2014,3.6400000000000001,152.0,168.0,3.0,,I,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
Columbia University,"Statistics, PhD (F14)",Accepted,18 Feb 2014,,,,,,,19 Feb 2014,18,Feb,2014,19,Feb,2014,Phd
University Of Georgia,"Statistics, PhD (F14)",Accepted,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
University Of Georgia,"Statistics, PhD (F14)",Accepted,19 Feb 2014,,,,,,,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,17 Feb 2014,,,,,,,19 Feb 2014,17,Feb,2014,19,Feb,2014,Phd
Oregon State University,"Statistics, PhD (F14)",Rejected,18 Feb 2014,,,,,,,19 Feb 2014,18,Feb,2014,19,Feb,2014,Phd
Purdue University,"Statistics, PhD (F14)",Accepted,19 Feb 2014,3.8999999999999999,168.0,168.0,5.5,,A,19 Feb 2014,19,Feb,2014,19,Feb,2014,Phd
Purdue University,"Statistics, PhD (F14)",Accepted,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Phd
Harvard University,"Statistics, Masters (F14)",Rejected,17 Feb 2014,3.8199999999999998,170.0,161.0,4.0,,I,18 Feb 2014,17,Feb,2014,18,Feb,2014,Masters
Rice University,"Statistics, PhD (F14)",Accepted,18 Feb 2014,3.7000000000000002,720.0,790.0,3.5,,U,18 Feb 2014,18,Feb,2014,18,Feb,2014,Phd
Rice University,"Statistics, PhD (F14)",Accepted,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Phd
Harvard University,"Statistics, Masters (F14)",Rejected,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Masters
UTHSC,"Statistics, PhD (F14)",Rejected,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Phd
Rice University,"Statistics, Masters (F14)",Rejected,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Masters
Purdue University,"Statistics, PhD (F14)",Accepted,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Phd
Harvard University,"Master Of Statistics, Masters (F14)",Rejected,18 Feb 2014,,,,,,,18 Feb 2014,18,Feb,2014,18,Feb,2014,Masters
NCSU,"Statistics, Masters (F14)",Rejected,18 Feb 2014,3.7999999999999998,152.0,168.0,3.5,,I,18 Feb 2014,18,Feb,2014,18,Feb,2014,Masters
Harvard University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,17 Feb 2014,14,Feb,2014,17,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Accepted,17 Feb 2014,,,,,,,17 Feb 2014,17,Feb,2014,17,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Rejected,17 Feb 2014,3.7599999999999998,155.0,170.0,3.5,,A,17 Feb 2014,17,Feb,2014,17,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F14)",Rejected,17 Feb 2014,,,,,,,17 Feb 2014,17,Feb,2014,17,Feb,2014,Masters
University Of Washington,"Statistics, Masters (F14)",Rejected,14 Feb 2014,,,,,,,17 Feb 2014,14,Feb,2014,17,Feb,2014,Masters
University Of Notre Dame,"Applied And Computational Mathematics And Statistics, Masters (F14)",Accepted,17 Feb 2014,3.9500000000000002,153.0,162.0,3.5,,A,17 Feb 2014,17,Feb,2014,17,Feb,2014,Masters
University Of Notre Dame,"Applied And Computational Mathematics And Statistics (ACMS), PhD (F14)",Accepted,16 Feb 2014,,,,,,,17 Feb 2014,16,Feb,2014,17,Feb,2014,Phd
Harvard University,"Statistics, Masters (F14)",Rejected,16 Feb 2014,3.8999999999999999,640.0,800.0,4.5,,U,17 Feb 2014,16,Feb,2014,17,Feb,2014,Masters
University Of Notre Dame,"Applied And Computational Mathematics And Statistics (ACMS), PhD (F14)",Accepted,16 Feb 2014,,,,,,,17 Feb 2014,16,Feb,2014,17,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,12 Feb 2014,3.8399999999999999,165.0,170.0,4.5,,A,16 Feb 2014,12,Feb,2014,16,Feb,2014,Phd
University Of Chicago,"Statistics, PhD (F14)",Accepted,14 Feb 2014,3.8399999999999999,165.0,170.0,4.5,,A,16 Feb 2014,14,Feb,2014,16,Feb,2014,Phd
University Of Chicago,"Statistics, PhD (F14)",Accepted,15 Feb 2014,,,,,,,16 Feb 2014,15,Feb,2014,16,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,16 Feb 2014,14,Feb,2014,16,Feb,2014,Phd
Bowling Green State University,"Statistics, Masters (F14)",Accepted,15 Feb 2014,,,,,,,16 Feb 2014,15,Feb,2014,16,Feb,2014,Masters
University Of Washington,"Statistics, Masters (F14)",Rejected,14 Feb 2014,,,,,,,16 Feb 2014,14,Feb,2014,16,Feb,2014,Masters
University Of Arizona,"Statistics, PhD (F14)",Rejected,16 Feb 2014,3.6000000000000001,156.0,163.0,4.5,,A,16 Feb 2014,16,Feb,2014,16,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,14 Feb 2014,3.9500000000000002,153.0,162.0,3.5,,A,16 Feb 2014,14,Feb,2014,16,Feb,2014,Phd
University Of Chicago,"Statistics, PhD (F14)",Accepted,14 Feb 2014,,,,,,,15 Feb 2014,14,Feb,2014,15,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,14 Feb 2014,,,,,,,15 Feb 2014,14,Feb,2014,15,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,15 Feb 2014,3.6600000000000001,147.0,163.0,3.0,,I,15 Feb 2014,15,Feb,2014,15,Feb,2014,Phd
Cornell University,"Statistics, PhD (F14)",Accepted,14 Feb 2014,,,,,,,15 Feb 2014,14,Feb,2014,15,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,14 Feb 2014,,,,,,,15 Feb 2014,14,Feb,2014,15,Feb,2014,Phd
University Of Washington,"Statistics, Masters (F14)",Rejected,15 Feb 2014,,,,,,,15 Feb 2014,15,Feb,2014,15,Feb,2014,Masters
Yale,"Statistics, Masters (F14)",Rejected,5 Feb 2014,,,,,,,15 Feb 2014,5,Feb,2014,15,Feb,2014,Masters
University Of Washington,"Statistics, Masters (F14)",Rejected,15 Feb 2014,3.7999999999999998,152.0,168.0,3.5,,I,15 Feb 2014,15,Feb,2014,15,Feb,2014,Masters
Harvard University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,3.8999999999999999,168.0,168.0,5.5,,A,15 Feb 2014,14,Feb,2014,15,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Harvard University,"Statistics, Masters (F14)",Rejected,14 Feb 2014,3.6000000000000001,161.0,167.0,4.0,,A,14 Feb 2014,14,Feb,2014,14,Feb,2014,Masters
University Of Chicago,"Statistics, PhD (F14)",Accepted,14 Feb 2014,,,,,,,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
University Of Chicago,"Statistics, PhD (F14)",Accepted,14 Feb 2014,,,,,,,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,14 Feb 2014,3.8999999999999999,167.0,164.0,4.5,,A,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,14 Feb 2014,3.7599999999999998,170.0,163.0,4.5,,A,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.8399999999999999,166.0,170.0,4.5,790.0,A,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,,,,,,,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Portland State University,"Statistics, Masters (F14)",Accepted,11 Feb 2014,,,,,,,14 Feb 2014,11,Feb,2014,14,Feb,2014,Masters
Carnegie Mellon,"Statistics, PhD (F14)",Accepted,13 Feb 2014,3.8999999999999999,168.0,168.0,5.5,,A,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Cornell University,"Statistics, PhD (F14)",Accepted,13 Feb 2014,3.8999999999999999,168.0,168.0,5.5,,A,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.7200000000000002,164.0,170.0,4.0,800.0,A,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.6600000000000001,740.0,800.0,5.5,,A,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,13 Feb 2014,,,,,,,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,3.6800000000000002,165.0,165.0,4.5,,A,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,0.0,0.0,0.0,860.0,U,14 Feb 2014,14,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.9199999999999999,166.0,165.0,5.0,700.0,A,14 Feb 2014,13,Feb,2014,14,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,,,,,,,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,,,,,,,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,,,,,,,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,,,,,,,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
University Of Washington,"Statistics, PhD (F14)",Rejected,23 Jan 2014,,,,,,,13 Feb 2014,23,Jan,2014,13,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.48,170.0,168.0,4.5,910.0,A,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
University Of Florida,"Statistics, PhD (F14)",Accepted,13 Feb 2014,3.5099999999999998,166.0,164.0,6.0,,A,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.5699999999999998,169.0,170.0,5.0,,A,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,13 Feb 2014,3.5099999999999998,166.0,164.0,6.0,,A,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
University Of North Carolina At Chapel Hill,"Statistics, PhD (F14)",Accepted,13 Feb 2014,3.7599999999999998,170.0,163.0,4.5,,A,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,13 Feb 2014,4.0,163.0,166.0,4.0,95.0,I,13 Feb 2014,13,Feb,2014,13,Feb,2014,Phd
Cornell University,"Statistics, PhD (F14)",Accepted,12 Feb 2014,,,,,,,13 Feb 2014,12,Feb,2014,13,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,12 Feb 2014,3.8399999999999999,166.0,170.0,4.5,790.0,A,12 Feb 2014,12,Feb,2014,12,Feb,2014,Phd
University Of Pennsylvania,"Statistics, PhD (F14)",Rejected,12 Feb 2014,3.8599999999999999,720.0,800.0,4.5,,A,12 Feb 2014,12,Feb,2014,12,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,11 Feb 2014,,,,,,,12 Feb 2014,11,Feb,2014,12,Feb,2014,Phd
UIUC,"Statistics, Masters (F14)",Rejected,11 Feb 2014,3.7400000000000002,161.0,166.0,3.5,,I,12 Feb 2014,11,Feb,2014,12,Feb,2014,Masters
UC Berkeley,"Statistics, PhD (F14)",Accepted,12 Feb 2014,,,,,,,12 Feb 2014,12,Feb,2014,12,Feb,2014,Phd
University Of Iowa,"Statistics, PhD (F14)",Accepted,12 Feb 2014,,,,,,,12 Feb 2014,12,Feb,2014,12,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,12 Feb 2014,,,,,,,12 Feb 2014,12,Feb,2014,12,Feb,2014,Phd
Stanford University,"Statistics, PhD (F14)",Rejected,11 Feb 2014,,,,,,,12 Feb 2014,11,Feb,2014,12,Feb,2014,Phd
Duke,"Statistics, Masters (F14)",Rejected,12 Feb 2014,,,,,,,12 Feb 2014,12,Feb,2014,12,Feb,2014,Masters
UC Berkeley,"Statistics, PhD (F14)",Accepted,11 Feb 2014,3.48,170.0,168.0,4.5,910.0,A,12 Feb 2014,11,Feb,2014,12,Feb,2014,Phd
Ohio State University,"Statistics, PhD (F14)",Accepted,11 Feb 2014,3.5800000000000001,162.0,165.0,4.5,,A,12 Feb 2014,11,Feb,2014,12,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Accepted,11 Feb 2014,3.8500000000000001,154.0,170.0,4.5,,I,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Accepted,11 Feb 2014,,,,,,,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Accepted,11 Feb 2014,4.0,166.0,170.0,5.0,,A,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
University Of Minnesota,"Statistics, PhD (F14)",Accepted,11 Feb 2014,,,,,,,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
Harvard University,"Statistics, PhD (F14)",Rejected,11 Feb 2014,,,,,,,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Rejected,11 Feb 2014,,,,,,,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
National Autonomous University Of Mexico,"Statistics, PhD (F14)",Accepted,11 Feb 2014,4.0,720.0,800.0,4.5,,A,11 Feb 2014,11,Feb,2014,11,Feb,2014,Phd
University Of Washington,"Statistics, Masters (F14)",Accepted,10 Feb 2014,3.7000000000000002,165.0,166.0,3.5,,I,11 Feb 2014,10,Feb,2014,11,Feb,2014,Masters
UIUC,"Statistics, Masters (F14)",Accepted,11 Feb 2014,,,,,,,11 Feb 2014,11,Feb,2014,11,Feb,2014,Masters
