school,program,decision,GPA,GRE,GRE_AW
Stanford University,Institute for Computational and Mathematical Engineering,Accepted,3.98,165.0,3.5
Stanford University,Institute for Computational & Mathematical Engineering,Rejected,3.77,332.0,4.5
Wake Forest University,Computer Science,Wait,3.58,325.0,99.99
Stony Brook University,Applied Mathematics and Statistics,Accepted,3.95,317.0,3.0
University of Rhode Island,Computer Science,Rejected,3.18,303.0,3.0
George Mason University,Computer Science,Rejected,3.18,303.0,3.0
Penn State University,Industrial Engineering,Accepted,3.63,167.0,4.5
University of Western Ontario,Economics,Accepted,3.79,167.0,4.5
Carnegie Mellon University,"Algorithms, Combinatorics and Optimization",Rejected,3.76,170.0,3.5
Brandeis University,Philosophy,Accepted,4.0,337.0,99.99
Brandeis University,Philosophy,Accepted,4.0,337.0,99.99
University of New Mexico,Chemical And Biological Engineering,Rejected,2.85,307.0,3.5
Georgetown University,Foreign Service,Accepted,3.91,263.0,5.0
University of Michigan,Robotics,Accepted,4.0,167.0,6.0
Columbia University,Economics,Rejected,3.89,170.0,4.5
Georgetown University,Foreign Service,Accepted,3.96,328.0,5.5
Columbia University,Economics,Rejected,4.0,170.0,5.5
Columbia University,East Asian Languages and Cultures,Accepted,3.96,161.0,4.5
Texas A&M University,Political Science,Wait,3.8,340.0,5.0
New York University,Public Administration,Accepted,3.9,170.0,5.0
Colorado State University,Agricultural Economics,Accepted,3.0,330.0,3.5
Purdue University,Engineering Management,Accepted,3.8,330.0,99.99
New York University,Public Administration,Rejected,4.0,170.0,4.5
University of Chicago,Economics,Rejected,4.0,170.0,4.5
Duke University,Political Science,Rejected,3.98,318.0,5.0
Duke University,Political Science,Rejected,3.97,336.0,6.0
Bocconi University,Economics,Wait,3.76,169.0,3.5
University of Chicago,Economics,Rejected,3.9,325.0,3.5
University of Chicago,Economics,Rejected,3.98,168.0,5.0
University of Chicago,Economics (Booth),Rejected,3.91,170.0,4.5
University of Edinburgh,Biomedical Innovation,Rejected,3.67,170.0,4.5
Michigan State University,Economics,Wait,3.93,332.0,5.5
University of Virginia,Economics,Wait,3.93,332.0,5.5
Vanderbilt University,Economics,Wait,3.93,332.0,5.5
University of California,Economics,Accepted,3.93,332.0,5.5
University of California (UCSC),Economics,Accepted,3.93,332.0,5.5
University of Michigan,Economics,Rejected,3.93,332.0,5.5
University of Maryland,Economics,Rejected,3.93,332.0,99.99
University of California (UCSB),Economics,Rejected,3.93,332.0,5.5
Georgetown University,Economics,Rejected,3.93,332.0,5.5
Penn State University,Economics,Rejected,3.93,332.0,5.5
George Washington University,International Affairs,Accepted,3.96,328.0,5.5
Carnegie Mellon University,Artificial Intelligence Engineering Energy Science Technology,Accepted,3.5,168.0,4.0
Center for Monetary and Financial Studies (CEMFI),Economics,Wait,3.9,325.0,3.5
University of Toronto,Public Policy,Accepted,3.72,319.0,5.5
Yale University,Biostatistics,Rejected,3.83,330.0,4.5
Center for Monetary and Financial Studies (CEMFI),Economics,Rejected,3.83,327.0,4.0
North Carolina A&T State University,Computer Science,Accepted,3.4,333.0,3.5
Columbia University,Computer Science,Accepted,3.67,323.0,99.99
Harvard University,Biostatistics,Accepted,3.94,337.0,4.0
University of Delaware,Electrical And Computer Engineering,Rejected,3.6,170.0,4.0
University of Pennsylvania,Scientific Computing,Accepted,3.77,332.0,4.5
Carnegie Mellon University,Computational Data Science,Rejected,3.77,332.0,4.5
University of Washington,Applied And Computational Mathematics,Accepted,3.77,332.0,4.5
Western Carolina University,Speech Language Pathology,Accepted,3.57,150.0,4.0
Cornell University,Statistics,Accepted,3.93,170.0,5.5
Princeton University,Economics,Wait,4.0,99.0,99.0
University of Chicago,Business Economics,Accepted,3.95,335.0,4.5
New York University,Sociology,Accepted,4.0,319.0,4.5
Stony Brook University,Sociology,Wait,3.7,167.0,5.5
Virginia Tech,STS,Accepted,3.1,332.0,4.5
University of California (UCLA),Political Science,Rejected,4.0,169.0,5.0
University of California (UCLA),Computer Science,Rejected,3.92,333.0,3.0
University of California (UCSB),Economics,Accepted,3.84,327.0,3.0
Colorado State University,Computer Science,Accepted,3.3,330.0,3.0
University of Texas at Arlington,Computer Science,Accepted,3.3,330.0,3.0
Wayne State University,Computer Science,Rejected,3.3,330.0,3.0
National University of Singapore,Chemical Engineering,Accepted,3.69,324.0,3.5
Texas A&M University,Electrical And Computer Engineering,Accepted,3.97,327.0,3.5
University of California (UCSB),Economics,Accepted,4.0,170.0,4.5
Duke University,Economics,Accepted,3.99,340.0,5.5
University of Michigan,Economics,Accepted,3.99,340.0,5.5
Stanford University,Economics,Rejected,3.99,340.0,5.5
MIT Sloan School of Management,Information Technology,Rejected,3.92,321.0,4.0
University of California (UCSB),Economics,Accepted,3.7,170.0,3.5
University of Minnesota,Economics,Wait,3.78,332.0,5.0
Georgetown University,Economics,Rejected,3.9,165.0,3.5
Stanford University,Economics,Rejected,4.0,170.0,4.0
Duke University,Economics,Accepted,3.86,330.0,4.5
Johns Hopkins University,Engineering Management,Rejected,3.4,320.0,99.99
Columbia University,Computer Science,Accepted,3.72,328.0,3.5
Columbia University,Computer Science,Accepted,3.72,328.0,3.5
University of Kentucky,Economics,Accepted,3.97,170.0,4.0
SUNY Buffalo,Chemistry,Accepted,3.9,321.0,4.5
University of Maryland Baltimore,Information Systems,Accepted,3.63,170.0,3.5
Harvard University,Public Policy,Rejected,3.88,170.0,3.5
University of Maryland,Economics,Rejected,3.88,170.0,3.5
Yale University,Economics,Rejected,3.88,170.0,3.5
Virginia Tech,Economics,Wait,3.58,330.0,5.0
University of Illinois Urbana-Champaign,Statistics,Rejected,3.75,339.0,5.0
Washington State University,Economics,Rejected,3.72,157.0,3.5
Carnegie Mellon University,Computer Science,Accepted,3.83,321.0,3.5
George Mason University,Economics,Accepted,4.0,161.0,4.5
University of Massachusetts,Speech Language Pathology,Accepted,3.97,313.0,5.0
Bowling Green State University,Data Science,Rejected,3.35,170.0,4.0
Purdue University,Statistics,Accepted,3.89,338.0,4.0
University of Illinois Urbana-Champaign,Economics,Accepted,4.0,170.0,4.5
Virginia Tech,Industrial And Systems Engineering,Accepted,3.63,167.0,4.5
University of Michigan,Economics,Wait,3.88,166.0,5.0
MIT Sloan School of Management,Economics,Rejected,3.88,166.0,5.0
University of Michigan,Economics,Wait,3.97,327.0,4.0
Southern Methodist University,Economics,Wait,3.8,170.0,3.5
University of Michigan,Economics,Wait,3.83,170.0,4.0
Texas A&M University,Civil Engineering,Accepted,3.74,170.0,3.5
University of Washington,"Applied Mathematics, Applied and Computational",Accepted,3.76,170.0,3.5
New York University,Computer Science,Accepted,3.5,162.0,4.0
Princeton University,Electrical And Computer Engineering,Accepted,3.92,337.0,99.99
Massachusetts Institute of Technology (MIT),Political Science,Rejected,3.99,161.0,4.0
University of Wisconsin,Computer Science,Rejected,8.62,323.0,4.0
Vanderbilt University,Political Science,Rejected,3.96,163.0,3.5
Harvard University,Data Science,Rejected,3.92,333.0,4.5
University of California (UCLA),Biostatistics,Accepted,4.0,170.0,5.5
Harvard University,Electrical And Computer Engineering,Rejected,3.67,169.0,4.0
Harvard University,Computer Science,Rejected,3.99,332.0,3.5
Massachusetts Institute of Technology (MIT),Political Science,Rejected,4.0,158.0,5.0
Carnegie Mellon,Computer Science,Accepted,3.86,170.0,5.0
University of California,Quantitative Finance,Accepted,3.3,335.0,4.0
Vanderbilt University,Political Science,Rejected,3.9,317.0,3.0
Massachusetts Institute of Technology (MIT),Political Science,Rejected,4.0,169.0,5.0
University of Michigan,Materials Science And Engineering,Accepted,3.47,168.0,5.0
MIT Sloan School of Management,Finance,Rejected,4.0,333.0,5.0
Politecnico di Milano,Computer Science,Accepted,3.86,323.0,4.0
Princeton University,Politics,Rejected,3.5,154.0,4.5
Cornell University,Sociology,Rejected,3.9,338.0,3.5
Johns Hopkins University,Sociology,Rejected,3.66,333.0,3.5
University of Pittsburgh,Statistics,Accepted,3.83,330.0,4.5
University of Nebraska,Marketing,Accepted,3.9,337.0,4.0
University of Notre Dame,Economics,Rejected,3.96,335.0,5.0
University of Tennessee,Marketing,Rejected,3.9,337.0,4.0
Iowa State University,Industrial Engineering,Rejected,3.56,315.0,99.99
Stanford University,Statistics,Accepted,4.0,322.0,4.0
IESE Business School,Management,Accepted,4.0,336.0,5.0
MIT Sloan School of Management,Finance,Rejected,3.0,329.0,99.99
London School of Economics,Economics,Accepted,4.0,340.0,5.5
Stanford University,Sociology,Accepted,3.95,329.0,99.99
Harvard University,Sociology,Accepted,3.95,329.0,99.99
CUNY Graduate School and University Center,Sociology,Wait,3.88,330.0,5.5
Clemson University,Economics,Accepted,3.61,169.0,4.0
Stanford University,Statistics,Rejected,3.79,337.0,99.99
Stanford University,Statistics,Rejected,3.96,169.0,3.5
University of Washington,Political Science,Wait,3.97,336.0,6.0
Rice University,Pure Mathematics,Accepted,3.96,332.0,99.99
Brigham Young University,Psychology,Accepted,3.4,334.0,99.99
University of Texas at Austin,Political Science,Rejected,4.0,337.0,3.5
University of Washington,Political Science,Rejected,4.0,337.0,3.5
University of Notre Dame,Sociology,Accepted,3.2,322.0,5.0
University of California (UCLA),Political Science,Accepted,3.8,159.0,5.5
University of North Carolina (UNC),City and Regional Planning,Rejected,3.47,327.0,4.0
Georgetown University,Biostatistics,Accepted,3.91,318.0,4.5
University of Alabama,Mechanical Engineering,Accepted,3.7,165.0,3.0
Texas A&M University,Mechanical Engineering,Rejected,3.7,165.0,3.0
Purdue University,Electrical And Computer Engineering,Accepted,3.74,332.0,99.99
University of Notre Dame,Sociology,Accepted,4.0,325.0,4.5
University of Notre Dame,Sociology,Accepted,3.99,335.0,5.0
University of Notre Dame,Sociology,Accepted,3.92,331.0,5.5
North Carolina State University,Electrical And Computer Engineering,Accepted,3.75,337.0,5.0
Columbia University,Statistics,Accepted,3.79,164.0,4.0
University of Hawaii at Manoa,Astronomy,Rejected,3.85,168.0,4.0
University of South Carolina,Geography,Accepted,3.83,313.0,4.0
University of South Carolina,Geography,Accepted,3.83,313.0,4.0
University of Oklahoma,Economics,Accepted,3.93,332.0,5.5
Boston University,Biomedical Engineering,Rejected,3.84,310.0,3.0
University of Southern California,Sociology,Accepted,3.93,162.0,5.0
SUNY Stony Brook,Sociology,Rejected,3.7,167.0,5.5
Boston College,mecha,Rejected,3.31,307.0,3.5
Rice University,Statistics,Accepted,3.79,322.0,99.99
Rice University,Statistics,Accepted,3.6,163.0,3.5
Massachusetts Institute of Technology (MIT),Chemistry,Rejected,3.91,329.0,5.0
Boston University,Robotics,Accepted,3.8,326.0,99.99
Massachusetts Institute of Technology (MIT),Chemistry,Rejected,4.0,325.0,4.5
University of Utah,Computer Science,Accepted,3.81,340.0,4.0
Columbia University,Management,Rejected,3.5,168.0,5.5
University of Illinois,Chemistry,Accepted,3.68,324.0,5.0
Yale University,Biological and Biomedical Sciences (BBS),Rejected,3.3,332.0,4.5
Purdue University Northwest,Electrical And Computer Engineering,Accepted,3.5,163.0,3.0
New Jersey Institute of Technology,Computer Science,Accepted,2.92,317.0,99.99
Boston University,Quantitative Economics,Accepted,3.98,326.0,5.0
London School of Economics,Economics,Accepted,3.98,326.0,5.0
Auburn University,Mechanical Engineering,Accepted,3.26,312.0,3.5
University of Chicago,Computational Social Sciences-Economics,Accepted,3.98,326.0,5.0
University of Maryland,Economics,Accepted,9.22,165.0,3.5
Washington University in St. Louis (WashU/WUSTL),Economics,Rejected,3.8,336.0,4.0
University of California,Materials Science And Engineering,Accepted,3.47,168.0,5.0
University of Maryland,Supply Chain Management,Accepted,3.28,299.0,3.0
Clarkson University,Mechanical Engineering,Accepted,3.87,302.0,3.5
University of Texas,Computer Science,Rejected,3.8,318.0,3.5
University of California,Chemistry,Rejected,3.91,329.0,5.0
Purdue University,Aerospace Engineering,Accepted,3.56,332.0,5.0
University of Alabama,Accounting,Rejected,3.13,323.0,99.99
Icahn School of Medicine at Mount Sinai,Biomedical Engineering,Rejected,3.42,322.0,99.99
Tufts University,International Relations,Accepted,3.9,169.0,5.0
Johns Hopkins University,Biostatistics,Rejected,3.94,337.0,4.0
London School of Economics and Political Science (LSE),Econometrics and Mathematical Economics (EME),Rejected,3.63,170.0,3.5
Vanderbilt University,Biostatistics,Rejected,3.91,318.0,4.5
Tinbergen Institute,Economics,Rejected,3.52,170.0,5.0
Brown University,Political Science,Rejected,3.9,162.0,5.0
Washington University in St. Louis (WashU/WUSTL),Physics,Rejected,3.85,168.0,4.0
Stevens Institute of Technology,Mechanical Engineering,Accepted,3.9,167.0,5.0
University of Maryland,Data Science,Accepted,3.65,313.0,4.5
Rochester University,Mental Health Counseling,Rejected,3.8,327.0,3.5
Georgetown University,Organic Chemistry,Accepted,3.91,329.0,5.0
University of Kansas,Management,Rejected,3.72,325.0,3.5
Northwestern University,Computer Science,Rejected,3.72,318.0,5.0
Stanford University,Law,Accepted,3.5,335.0,5.0
University of Alabama,Mechanical Engineering,Accepted,3.53,170.0,5.0
Alfred University,Mechanical Engineering,Rejected,2.6,159.0,3.0
New York University,Mathematics,Rejected,3.97,161.0,5.5
University of California (UCSB),Materials,Accepted,3.44,170.0,3.5
Duke University,ECE,Rejected,3.75,169.0,3.0
Johns Hopkins University,Data Science,Rejected,3.85,164.0,3.5
University Of Virginia,Computer Science,Rejected,3.98,158.0,3.0
Johns Hopkins University,Data Science,Rejected,3.4,165.0,4.0
University of California (UCLA),Electrical And Computer Engineering,Accepted,3.74,170.0,3.5
Northwestern University,MS Robotics,Rejected,3.05,166.0,6.0
Carnegie Mellon University,MRSD,Wait,3.05,166.0,6.0
University College London,MSc Robotics And Artificial Intelligence,Accepted,3.05,166.0,6.0
SUNY Albany,Sociology,Accepted,3.84,165.0,4.0
San Jose State University,Computer Science,Accepted,3.84,168.0,4.0
University Of Alberta,Computer Science,Rejected,3.9,168.0,4.5
University Of Virginia,Computer Science,Rejected,3.75,170.0,5.0
Ecole Polytechnique Federale De Lausanne (EPFL),Data Science,Accepted,3.7,169.0,4.0
"University of California, Irvine",Informatics,Rejected,3.83,162.0,3.5
Carnegie Mellon University,Machine Learning,Rejected,3.93,166.0,5.0
George Mason University,Industrial Organizational Psychology,Wait,3.75,152.0,5.0
University of Pennsylvania,Computer Science,Accepted,3.2,160.0,6.0
Yale University,Computer Science,Accepted,3.98,167.0,3.5
Northeastern University,Counseling Psychology,Rejected,4.0,151.0,4.5
Ohio State University,Computer Science and Engineering,Accepted,3.61,167.0,4.5
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Rejected,3.82,170.0,6.0
Ecole Polytechnique Federale De Lausanne (EPFL),Mechanical Engineering,Rejected,3.56,170.0,4.0
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Rejected,3.6,167.0,5.0
University of Pennsylvania,Computer Science,Rejected,3.78,169.0,4.0
University of Florida,Civil Engineering,Rejected,3.7,160.0,3.5
Arizona State University,Counseling,Accepted,3.79,147.0,4.0
University of Pennsylvania,Computer and Information Science,Rejected,3.82,170.0,6.0
San Francisco State University,Industrial Organizational Psychology,Accepted,3.94,160.0,5.0
University of Wisconsin,Electrical Engineering,Accepted,3.42,167.0,4.5
George Washington University,Computer Science,Accepted,3.83,162.0,3.5
University of Massachusetts Amherst,Computer Science,Rejected,3.23,166.0,3.0
San Diego State University,Bioinformatics And Medical Informatics,Accepted,3.64,159.0,4.0
Stanford University,Energy Systems and Engineering,Accepted,4.0,162.0,4.0
University of Massachusetts Amherst,Computer Science,Rejected,3.75,169.0,5.0
University of California (UCLA),Statistics,Accepted,3.88,167.0,5.0
Yale University,International And Development Economics,Accepted,3.87,167.0,6.0
University of Pennsylvania,Computer and Information Science,Rejected,3.37,168.0,4.0
Stanford University,Statistics,Rejected,3.79,170.0,5.0
Arizona State University,Computer Science,Accepted,3.23,166.0,3.0
University Of Utah,Computer Science,Rejected,3.23,166.0,3.0
Stanford University,Statistics,Accepted,3.85,164.0,3.5
University of Pennsylvania,Computer and Information Science,Rejected,3.61,167.0,4.5
Penn State University,Computer Science and Engineering,Accepted,3.61,167.0,4.5
University of Pennsylvania,Computer Science,Rejected,3.83,165.0,3.5
University Of Utah,Computer Science,Rejected,3.34,165.0,4.5
University of Pennsylvania,Computer Science,Rejected,3.67,170.0,4.0
University of California,Economics,Rejected,3.97,170.0,5.0
University of Southern California,Economics,Rejected,3.7,170.0,3.5
North Carolina State University,Civil Engineering,Accepted,3.74,166.0,4.0
University Of Illinois,Computer Science,Rejected,3.87,163.0,4.0
University of Florida,Electrical And Computer Engineering,Accepted,3.87,163.0,4.0
University Of Utah,Computer Science,Accepted,3.87,163.0,4.0
University of Delaware,Mathematics,Accepted,3.35,165.0,4.0
Carnegie Mellon University,Robotics ( MRSD ),Accepted,9.17,168.0,4.0
University of Massachusetts Amherst,Computer Science,Rejected,3.93,168.0,4.5
Delft University of Technology,Aerospace Engineering,Accepted,3.4,164.0,4.0
Washington University In St. Louis (WashU),Cybersecurity Engineering,Accepted,3.4,163.0,4.0
University of Massachusetts Amherst,Computer Science,Rejected,4.0,164.0,5.0
Duke University,Interdisciplinary Data Science,Accepted,3.99,164.0,5.5
University of Massachusetts Amherst,Computer Science,Rejected,3.75,168.0,4.0
Yale Divinity School,MAR Comprehensive,Wait,3.9,166.0,5.0
Vanderbilt University,Economics,Rejected,3.6,165.0,4.5
Vanderbilt University,Economics,Rejected,3.65,168.0,4.5
University of Connecticut,Economics,Accepted,3.46,168.0,4.5
Rutgers University,Information,Accepted,2.96,161.0,5.5
University of Massachusetts Amherst,Computer Science,Rejected,3.61,167.0,3.0
University of Massachusetts Amherst,Computer Science,Rejected,8.89,168.0,4.0
Pace University,School-Clinical Child Psychology,Accepted,4.0,159.0,5.5
Nova Southeastern University,Clinical Psychology,Rejected,4.0,159.0,5.5
Yeshiva University,Combined School-Clinical PsyD,Accepted,4.0,159.0,5.5
Delft University of Technology,Aerospace Engineering,Accepted,3.81,168.0,3.5
Rice University,Statistics,Rejected,3.9,170.0,3.5
ETH Zurich,Computer Science,Accepted,3.97,170.0,3.5
University of California,Data Science,Accepted,3.85,166.0,4.5
University of California,Electrical And Computer Engineering,Accepted,3.72,170.0,5.0
Texas A&M University,Electrical And Computer Engineering,Accepted,3.72,170.0,5.0
Baylor University,Sports Management,Accepted,3.5,156.0,5.0
Stanford University,Materials Science And Engineering,Accepted,4.0,170.0,5.0
Massachusetts Institute of Technology (MIT),Architecture,Wait,3.9,168.0,5.0
Arizona State University,Computer Science,Accepted,4.0,166.0,4.5
University Of Toronto,Masters Of Global Affairs,Accepted,3.71,162.0,3.0
New York University,Data Science,Wait,3.58,166.0,5.0
Johns Hopkins University,Robotics,Accepted,3.2,168.0,4.0
University of Colorado Boulder,Economics,Wait,3.46,168.0,3.5
University of Colorado Boulder,Economics,Wait,3.65,168.0,4.5
University Of Minnesota,Industrial And Systems Engineering,Rejected,3.78,166.0,4.5
Purdue University,Aerospace Engineering,Rejected,3.71,155.0,5.5
University of Central Florida,Human Factors,Rejected,3.4,157.0,6.0
George Washington University,Computer Science,Rejected,3.83,162.0,3.5
Ohio State University,Physics,Wait,3.57,169.0,3.5
Johns Hopkins University,Data Science,Wait,3.85,164.0,3.5
Johns Hopkins University,Data,Wait,3.85,164.0,3.5
Icahn School of Medicine at Mount Sinai,Biomedical Sciences,Accepted,3.6,168.0,5.0
London School of Economics and Political Science (LSE),Economics MSc,Accepted,3.7,169.0,5.0
Carnegie Mellon University,Economics,Rejected,3.97,170.0,5.0
Toulouse School Of Economics,Economics,Accepted,3.9,170.0,5.5
McGill University,Electrical And Computer Engineering,Accepted,3.6,170.0,3.5
London School of Economics and Political Science (LSE),Public Administration,Accepted,3.84,159.0,4.5
West Virginia University,Biomedical Sciences,Wait,3.14,143.0,3.0
Louisiana State University,Sociology,Accepted,3.4,162.0,2.5
University of Colorado Boulder,Computer Science,Rejected,3.98,158.0,3.0
Stevens Institute of Technology,Computer Science,Rejected,3.98,158.0,3.0
University of California,Data Science,Accepted,3.67,170.0,3.5
Tufts University,Computer Science,Rejected,3.18,156.0,3.0
Stevens Institute of Technology,Computer Science,Rejected,3.18,156.0,3.0
Carnegie Mellon University,Mechanical Engineering,Accepted,3.3,169.0,5.5
University of Southern California,Computer Science,Accepted,3.7,170.0,3.5
Purdue University,Computer Science,Accepted,3.7,170.0,3.5
Carnegie Mellon University,Computer Science,Rejected,3.7,170.0,3.5
University of California,Electrical And Computer Engineering (ISRC-EC80),Accepted,3.67,165.0,3.0
University of California (UCLA),Mechanical Engineering,Accepted,3.67,165.0,3.0
Rice University,Computer Science,Accepted,3.84,180.0,3.5
Whart,OID,Accepted,3.88,168.0,4.5
University of California,Economics,Rejected,3.71,167.0,5.0
Columbia University,Economics,Rejected,3.71,167.0,5.0
"University of California, Irvine",Data Science,Rejected,3.8,170.0,4.0
SUNY Stony Brook,Economics,Accepted,3.64,158.0,5.0
SUNY Stony Brook,Economics,Accepted,3.96,168.0,3.0
University of Illinois,Economics,Accepted,3.77,164.0,5.5
Carnegie Mellon University,Computer Science,Rejected,3.82,170.0,6.0
University of Chicago,Humanities,Accepted,3.75,159.0,5.0
Columbia University,Financial Economics,Rejected,3.38,169.0,4.5
University Of Washington,Urban Planning,Accepted,3.6,159.0,5.5
Rutgers University,Criminal Justice,Accepted,4.0,168.0,5.5
University of Illinois,Economics,Accepted,3.65,168.0,4.5
Yale University,East Asian Studies,Rejected,3.95,164.0,4.0
Harvard University,"Regional Studies, East Asia",Rejected,3.95,164.0,4.0
Columbia University,Economics,Rejected,3.9,170.0,5.5
University of Texas,Psychology,Accepted,4.0,156.0,4.5
Columbia University,Economics,Rejected,3.97,170.0,5.0
Columbia University,Economics,Rejected,3.7,170.0,4.0
Columbia University,Economics,Rejected,3.89,170.0,6.0
University of Illinois,Economics,Accepted,3.46,168.0,4.5
Massachusetts Institute of Technology (MIT),Business Analytics (MBAn),Wait,3.9,170.0,4.0
Columbia University,Computer Science,Accepted,3.88,170.0,4.5
University of Michigan,Industrial and Operations Engineering,Accepted,3.69,163.0,5.5
Columbia University,Economics,Accepted,3.98,170.0,4.0
East Tennessee State University,Speech Language Pathology,Accepted,3.7,141.0,3.5
University of San Francisco,Clinical Psychology,Accepted,3.89,150.0,4.0
Columbia University,East Asian Languages and Cultures,Accepted,3.9,160.0,4.5
ETH Zurich,Mechanical Engineering,Rejected,3.66,167.0,3.5
University Of Cambridge,Computer Science,Rejected,3.21,325.0,3.5
Fairleigh Dickinson University-Metropolitan Campus,Clinical Psychology,Wait,3.41,160.0,5.0
Yale University,East Asian Studies,Rejected,3.9,160.0,4.5
George Washington University,International Affairs,Accepted,3.52,167.0,5.0
Georgetown,Foreign Service,Wait,3.52,167.0,5.0
Washington University In St. Louis (WashU),Architecture,Accepted,3.53,154.0,5.0
Center for Monetary and Financial Studies (CEMFI),Economics And Finance,Wait,3.6,165.0,4.5
ETH Zurich,"Management, Technology & Economics",Rejected,4.0,167.0,4.0
Georgia Institute of Technology,Architecture,Accepted,3.3,156.0,4.5
Delft University of Technology,Aerospace Engineering,Accepted,3.94,160.0,3.5
Northwestern University,Statistics And Data Science,Accepted,3.94,169.0,5.0
National University Of Singapore,Biological Science,Rejected,3.83,168.0,4.5
University Of New South Wales,Mechanical Engineering,Rejected,3.56,170.0,4.0
Arizona State University,Electrical Engineering,Accepted,3.75,168.0,4.0
Steph,Speech,Accepted,3.97,144.0,4.0
University of Rochester,Economics,Accepted,3.8,167.0,5.5
Texas Tech University,Biology,Rejected,2.8,162.0,3.0
University of Houston,Biology,Rejected,2.8,162.0,3.0
Southern Illinois University,"Molecular Biology, Microbiology & Biochemistry",Rejected,2.8,162.0,3.0
West Virginia University,Biomedical Sciences,Rejected,2.8,162.0,3.0
Texas A&M University,Material Science And Engineering,Accepted,3.75,167.0,4.0
University of California,Materials Science And Engineering,Accepted,3.75,167.0,4.0
University of California (UCLA),Materials Science And Engineering,Accepted,3.75,167.0,4.0
Brown University,Public Affairs,Accepted,3.94,164.0,4.5
University of Wisconsin,Biomedical Data Science,Rejected,4.0,156.0,4.5
Cornell University,Economics,Wait,3.85,169.0,5.5
McMaster University,Economics,Accepted,3.65,166.0,3.0
Western Carolina University,Communication Sciences And Disorders,Accepted,3.6,141.0,4.0
Harvard University,Computational Biology And Quantitative Genetics,Accepted,3.95,170.0,5.5
Stanford University,Management Science and Engineering,Accepted,4.0,167.0,3.5
Cornell University,Philosophy,Rejected,4.0,167.0,6.0
University of Michigan,Civil Engineering,Rejected,3.82,169.0,3.0
University of Chicago,Divinity,Rejected,3.48,162.0,5.0
University of California,Computer Science,Accepted,9.1,170.0,3.5
Columbia University,Sociology,Rejected,3.5,151.0,5.5
University of California,Pure Mathematics,Rejected,4.0,163.0,5.0
University of North Carolina (UNC),Economics,Accepted,3.87,161.0,5.0
Harvard University,Sociology,Rejected,3.9,160.0,5.5
Emory University,Biostatistics,Accepted,3.94,163.0,4.0
Georgia Institute of Technology,Mechanical Engineering,Rejected,3.53,170.0,4.5
Montclair State University,Communication Sciences And Disorders,Accepted,3.7,145.0,4.0
Carnegie Mellon University,Machine Learning,Wait,3.72,170.0,5.0
