unique_id,gender,race,gpa,act_score,household_income,decision
12300,M,asian,3.9165,33,104365.72,0
3166,M,asian,4.0215000000000005,32,125038.12000000001,1
18298,M,hispanic or latino,3.5625999999999998,32,62795.84,1
4914,F,asian,3.8640000000000003,34,430052.16000000003,1
17454,F,hispanic or latino,2.8857999999999997,n/a,93109.18,0
9750,F,white,3.74,n/a,92213.0,0
5904,M,white,3.48,33,163706.0,0
10540,M,white,3.03,34,148977.0,0
1431,M,hispanic or latino,3.4309999999999996,n/a,68316.34,0
9763,M,white,3.31,36,187226.0,0
13499,F,black or african american,3.1065,31,44546.04,0
14727,M,hispanic or latino,3.6095999999999995,35,89516.28,0
1425,M,white,3.0,35,234460.0,0
717,F,asian,3.8640000000000003,33,200839.68000000002,1
8366,F,black or african american,3.5054999999999996,34,86649.57,1
11262,M,hispanic or latino,3.0926,n/a,45696.93,0
6161,F,white,3.23,31,131870.0,0
14455,F,white,3.4,35,121385.0,1
322,M,white,3.26,31,367610.0,0
5926,M,asian,3.801,31,331397.8,0
410,F,white,3.91,32,254843.0,1
43,M,white,3.63,34,57699.0,1
1170,M,white,3.29,33,217879.0,1
5145,F,asian,3.4755000000000003,n/a,48757.240000000005,1
2991,M,white,3.81,34,93566.0,0
8926,M,asian,3.3285,n/a,57292.08,0
4641,M,white,3.44,33,162081.0,0
8711,M,white,3.44,34,158399.0,0
18456,M,asian,3.6225000000000005,31,162838.16,0
6960,F,white,3.18,33,117281.0,1
12015,M,white,3.52,30,162211.0,0
1145,F,white,3.47,33,78810.0,0
6801,F,white,3.1,n/a,113669.0,0
2526,M,white,3.23,35,168042.0,0
2914,M,hispanic or latino,3.5437999999999996,34,46169.68,0
1665,M,asian,3.633,33,175114.64,0
1785,M,white,3.37,36,66247.0,1
7155,F,hispanic or latino,3.0549999999999997,30,92982.91,0
18013,F,asian,3.6854999999999998,n/a,218443.88,0
900,M,asian,4.053,33,164582.48,0
14980,F,asian,3.591,34,174747.56,0
249,M,asian,3.507,31,167654.36000000002,1
9483,M,white,3.78,34,186559.0,0
15451,F,hispanic or latino,3.5531999999999995,n/a,51414.46,0
8677,M,white,3.34,n/a,65531.0,0
19059,F,asian,3.6225000000000005,34,75772.12000000001,0
2073,F,white,3.15,29,92958.0,0
5216,M,white,3.62,33,95922.0,0
17941,F,white,3.96,n/a,181800.0,0
5661,F,black or african american,3.306,32,36233.19,0
9409,F,black or african american,3.667,31,89051.76,1
19508,M,hispanic or latino,2.8764,n/a,364320.06,0
9298,F,asian,3.9375,34,62127.600000000006,0
15269,M,white,3.05,n/a,291327.0,0
19584,F,hispanic or latino,3.3464,n/a,101498.51,0
510,F,white,3.09,n/a,163470.0,0
3399,F,white,3.84,33,89148.0,0
12956,F,hispanic or latino,3.6378,36,120873.33,0
17904,F,black or african american,3.0875,n/a,86602.95,0
18960,M,asian,3.57,34,150254.4,0
11807,M,asian,3.3915,35,100760.24,0
14409,M,white,3.25,32,140488.0,1
5178,F,hispanic or latino,3.4028,33,72403.95,0
1075,F,white,3.26,32,128178.0,0
3464,F,asian,3.7695,36,124415.28,0
11530,M,white,3.42,n/a,272167.0,1
990,M,hispanic or latino,3.4592,32,552536.78,0
11322,F,white,3.25,35,98304.0,1
17170,F,white,3.73,35,338724.0,0
6238,F,white,3.28,34,175241.0,0
18626,M,black or african american,3.3155,35,79540.65,1
16758,F,asian,4.168500000000001,n/a,120986.44,0
4966,M,hispanic or latino,3.149,35,56578.72,1
13690,M,white,3.28,33,113966.0,0
7143,F,white,3.1,33,70209.0,0
3256,F,white,3.31,n/a,227954.0,0
1536,M,white,3.49,34,139523.0,1
15579,F,asian,3.4020000000000006,33,150948.08000000002,0
3664,M,white,3.17,n/a,76583.0,0
3138,M,hispanic or latino,2.8575999999999997,33,57022.799999999996,0
4802,M,asian,3.717,n/a,86019.08,1
11657,F,white,3.36,35,94078.0,1
17218,M,asian,3.6435000000000004,36,132424.80000000002,1
5490,F,black or african american,3.1919999999999997,30,35371.35,1
6840,M,white,3.58,n/a,290994.0,0
17797,M,white,3.31,31,94837.0,0
15979,M,white,3.78,34,138548.0,1
17311,F,white,3.05,31,87575.0,0
1399,M,white,3.97,35,95399.0,0
11697,M,asian,3.2235,n/a,73136.32,0
9743,M,hispanic or latino,3.1302,n/a,28018.52,0
8937,M,hispanic or latino,3.3464,36,111246.92,0
1637,F,white,3.75,31,47566.0,0
2125,M,white,3.81,33,57990.0,0
17503,F,asian,3.2655,32,195892.84,0
4434,M,black or african american,3.0875,33,75260.43000000001,0
6184,F,asian,3.9270000000000005,32,113730.40000000001,0
7863,M,black or african american,2.9924999999999997,34,155594.25,0
11990,F,white,3.36,33,157888.0,0
2168,F,white,3.88,32,129949.0,0
19258,F,hispanic or latino,3.0268,34,166154.24,0
16977,M,asian,3.5385000000000004,33,158875.72,0
809,F,asian,3.5175,34,87269.36,0
4497,M,asian,3.6750000000000003,34,64895.880000000005,0
8819,M,black or african american,3.344,34,59761.17,1
8982,F,white,3.88,34,437922.0,1
6983,F,white,3.75,n/a,62493.0,0
10979,F,white,3.02,34,99022.0,0
10188,M,hispanic or latino,2.9797999999999996,35,79726.39,0
645,F,hispanic or latino,3.2993999999999994,34,70054.84,0
16957,F,asian,4.179,35,105212.12000000001,0
213,M,hispanic or latino,3.6942,32,148349.56,0
4275,F,white,3.98,n/a,74721.0,0
1444,M,asian,4.1265,n/a,104297.64,0
7798,F,hispanic or latino,2.9233999999999996,33,39780.54,0
12151,M,white,3.04,n/a,153151.0,0
14042,F,asian,3.6645000000000003,33,141560.4,0
2612,M,black or african american,3.0115,31,43585.29,0
11234,F,white,3.6,33,95028.0,1
16619,M,black or african american,3.2489999999999997,n/a,35831.25,0
11809,F,white,3.35,35,152547.0,1
4347,M,white,3.79,n/a,65130.0,0
18235,F,hispanic or latino,3.6189999999999998,33,60385.119999999995,1
1242,F,hispanic or latino,2.8575999999999997,33,55754.61,0
13709,F,hispanic or latino,3.2335999999999996,30,86738.34,0
7126,F,hispanic or latino,3.76,n/a,94148.01,0
2808,M,white,3.97,31,113179.0,0
10977,M,asian,3.4755000000000003,34,127957.28,0
14912,M,asian,3.2235,35,120794.16,0
19649,F,asian,3.423,30,127228.64,0
1226,F,black or african american,3.1065,34,112690.62,0
16892,M,american indian or alaskan native,2.9667,33,147977.9,1
18701,M,white,3.75,34,172607.0,0
5322,M,hispanic or latino,2.9797999999999996,29,57724.299999999996,0
11590,M,white,3.86,31,185537.0,1
6403,M,hispanic or latino,3.6847999999999996,n/a,249533.91999999998,0
3527,M,white,3.93,32,111173.0,0
18940,F,white,3.79,34,306949.0,0
14095,F,asian,3.1710000000000003,30,111996.20000000001,1
7774,M,asian,3.7905,n/a,85195.68000000001,1
4626,M,white,3.1,36,144734.0,0
6817,F,white,3.24,n/a,62525.0,0
3288,F,white,3.62,31,129757.0,0
8573,M,hispanic or latino,2.8669999999999995,33,52874.799999999996,0
11034,F,asian,4.116,34,52581.68,0
6089,M,white,3.84,34,154025.0,0
3999,M,asian,3.2655,33,160922.72,0
17875,M,white,3.8,29,152021.0,0
445,M,white,3.29,33,318689.0,0
2686,M,white,3.61,35,105817.0,0
11359,F,asian,3.7065,35,86167.2,0
8727,F,white,3.88,34,157558.0,0
8570,M,white,3.31,n/a,106088.0,0
9832,F,hispanic or latino,3.7224,32,26063.47,0
6256,F,white,3.07,32,74282.0,0
14080,F,american indian or alaskan native,3.2457000000000003,34,80736.78,1
19417,F,asian,3.6750000000000003,35,127291.20000000001,0
11072,M,black or african american,3.059,35,90888.21,0
13062,M,hispanic or latino,3.6471999999999998,34,151996.13999999998,1
211,F,white,3.76,n/a,72299.0,1
16999,M,hispanic or latino,3.243,34,52224.54,1
3965,F,white,3.12,35,163438.0,0
14412,F,white,3.57,32,96644.0,0
8692,F,black or african american,3.3249999999999997,n/a,145693.8,1
17784,F,white,3.13,31,162606.0,1
7691,F,asian,3.6645000000000003,n/a,173926.0,0
3477,M,black or african american,3.078,33,39216.24,0
10470,F,asian,3.2025,32,129855.24,0
5331,F,white,3.3,32,361498.0,0
7177,F,hispanic or latino,3.3087999999999997,32,37703.49,1
14168,M,black or african american,3.3249999999999997,n/a,169738.38,0
11855,M,asian,3.8535,n/a,51789.560000000005,0
2460,F,white,3.01,n/a,75650.0,0
6866,F,white,3.38,33,79346.0,0
1152,M,white,3.77,32,97694.0,0
17663,M,black or african american,3.6289999999999996,33,48176.73,0
7202,M,white,3.92,30,172932.0,0
8981,M,white,3.4,n/a,137558.0,1
18760,F,asian,3.4335,n/a,44198.64,1
8132,M,black or african american,3.42,n/a,86661.54,0
15997,F,white,3.1,31,83659.0,0
11611,M,white,3.11,33,122229.0,0
527,M,asian,3.969,34,141028.64,0
19025,M,white,3.52,33,227840.0,0
18549,M,asian,3.4859999999999998,34,172510.12,0
7971,F,white,3.17,33,73824.0,0
11949,F,white,3.97,34,56983.0,1
17960,M,hispanic or latino,3.6754,34,137090.18,0
3711,M,white,3.95,34,98257.0,0
3911,M,black or african american,3.5719999999999996,34,71511.3,0
276,M,white,3.68,33,103943.0,0
12014,F,white,3.71,34,144282.0,0
17724,F,white,3.16,n/a,84312.0,1
10259,M,asian,4.011,34,154094.48,0
2473,F,hispanic or latino,3.2618,n/a,116502.68,0
19716,F,white,3.52,31,92872.0,0
14287,F,hispanic or latino,3.6942,29,69025.16,0
1754,F,asian,3.423,35,133057.76,0
10203,M,black or african american,3.4105,32,70363.44,0
19376,F,white,3.5,n/a,87292.0,0
8886,F,white,3.12,35,126044.0,0
3945,F,black or african american,3.515,34,158053.14,0
6676,F,hispanic or latino,3.4968,30,45975.09,1
19615,M,white,3.6,32,103288.0,0
15645,F,white,3.75,32,289509.0,0
8031,F,white,3.89,36,230918.0,0
11523,F,hispanic or latino,2.961,35,52655.81,0
12938,M,black or african american,3.4865,36,53878.23,0
15132,M,white,3.45,35,94554.0,0
5387,M,white,3.59,33,97525.0,0
11275,M,white,3.46,34,231101.0,0
9879,F,hispanic or latino,3.7224,33,61143.96,0
12292,F,asian,3.8430000000000004,32,93014.76000000001,0
16418,M,white,3.86,n/a,86648.0,0
7579,F,white,3.65,35,73104.0,0
107,F,white,3.28,n/a,145553.0,0
13907,M,white,3.81,31,150693.0,1
15600,M,hispanic or latino,3.2806,35,182398.54,0
16708,M,white,3.91,34,179417.0,0
18964,M,asian,3.2235,n/a,57626.04,0
15097,F,white,3.31,29,179280.0,0
19008,F,hispanic or latino,3.1302,33,114370.12,0
4485,F,white,3.52,n/a,86581.0,0
5474,F,asian,3.507,35,115255.76000000001,0
1611,F,black or african american,3.23,34,126602.91,0
15126,M,white,3.36,32,112689.0,1
9683,F,hispanic or latino,2.9797999999999996,n/a,39923.89,0
18353,M,asian,4.116,34,128203.84000000001,0
6693,M,asian,4.189500000000001,36,62221.44,1
15154,M,white,3.54,n/a,122603.0,0
8375,M,white,4.0,34,346756.0,0
5134,M,white,3.17,n/a,186523.0,1
8181,F,white,3.96,34,143868.0,0
16667,F,asian,3.3285,30,101880.8,1
18447,F,white,3.69,n/a,153353.0,0
5880,M,white,3.32,n/a,134379.0,0
6805,M,hispanic or latino,2.8575999999999997,n/a,192956.41999999998,0
36,F,hispanic or latino,3.5156,n/a,131632.51,0
15542,M,asian,3.9060000000000006,34,472809.16000000003,0
19168,M,white,3.86,34,38612.0,1
6243,F,black or african american,2.9164999999999996,n/a,298921.14,0
2770,F,white,3.24,33,114752.0,0
8792,M,asian,3.6015,35,272123.12,0
2581,F,hispanic or latino,3.4404,34,13292.51,0
4044,M,white,3.97,32,101971.0,0
19220,M,black or african american,3.5054999999999996,31,78022.98,0
2883,F,black or african american,3.496,34,58746.24,1
12148,F,black or african american,2.9545,34,58976.19,1
15626,F,hispanic or latino,2.961,n/a,53254.83,0
6624,M,hispanic or latino,3.5437999999999996,n/a,74574.94,0
12402,F,hispanic or latino,2.9046,34,114404.89,1
6167,F,white,3.48,n/a,79336.0,0
7925,M,white,3.28,31,65636.0,0
17840,F,asian,3.1710000000000003,34,138595.24000000002,0
7919,F,white,3.34,33,186010.0,0
18661,F,hispanic or latino,3.6283999999999996,35,66948.72,0
1413,F,white,3.89,29,95228.0,0
2918,F,asian,3.3600000000000003,34,62330.0,0
12163,F,white,3.29,n/a,93394.0,0
13708,F,white,3.91,29,79692.0,0
1358,M,asian,3.7905,31,155136.84,0
16169,F,white,3.21,33,77307.0,0
3593,F,hispanic or latino,3.7506,33,85284.09999999999,0
14492,M,white,3.07,n/a,70439.0,0
11548,F,white,3.67,n/a,104019.0,1
13688,F,white,3.67,34,120568.0,0
6383,M,hispanic or latino,3.1113999999999997,32,63783.43,0
14474,F,black or african american,3.439,31,101125.08,0
8414,M,black or african american,3.3914999999999997,n/a,46778.76,0
17882,F,white,3.51,34,242702.0,0
14085,M,hispanic or latino,3.0362,33,34394.24,0
2043,F,white,3.49,n/a,93060.0,0
19290,F,asian,3.696,n/a,116313.76000000001,0
5100,M,asian,3.297,32,160781.04,0
1832,M,hispanic or latino,3.0549999999999997,34,56784.9,0
799,M,white,3.61,31,580636.0,1
7310,M,asian,3.192,n/a,106148.68000000001,0
13283,F,asian,3.3075,31,89541.76000000001,0
3754,M,white,3.07,35,176060.0,0
15726,F,black or african american,3.1919999999999997,33,43713.18,0
3550,M,white,3.68,n/a,103761.0,0
2711,M,asian,3.6225000000000005,32,114574.04000000001,0
19450,F,white,3.94,31,112366.0,0
11301,F,asian,3.8745000000000003,n/a,84272.92,0
5743,M,asian,4.0845,n/a,101952.56,0
11863,M,black or african american,3.306,33,119209.23,0
2077,M,white,3.57,30,216053.0,0
6372,F,asian,4.1265,31,111791.96,1
5949,M,asian,3.1500000000000004,33,172704.24000000002,0
3954,F,asian,4.1265,34,226428.56,0
19377,M,white,3.99,n/a,169204.0,0
13657,F,asian,3.2655,34,50833.68,0
18041,M,hispanic or latino,3.0643999999999996,32,126393.83,0
5999,M,asian,3.9165,n/a,74297.36,0
1617,M,asian,4.032,31,187934.84,0
13749,F,white,3.23,34,146577.0,0
13507,M,black or african american,2.8974999999999995,n/a,106394.4,0
9482,F,hispanic or latino,3.6847999999999996,30,87542.93,0
19153,M,asian,3.5595000000000003,34,150616.88,0
2981,M,white,3.34,36,140463.0,1
15123,M,white,3.56,35,207182.0,0
9397,F,hispanic or latino,3.2054,33,108627.58,0
8942,F,asian,3.3180000000000005,31,107476.24,0
10580,M,white,3.71,32,246753.0,0
8593,F,white,3.65,34,82304.0,0
12408,M,black or african american,3.6385,31,53325.090000000004,0
12026,M,hispanic or latino,3.6942,30,62821.46,0
18303,M,hispanic or latino,3.6942,n/a,205502.29,0
9833,M,black or african american,2.9164999999999996,34,78116.22,0
14676,F,asian,3.9165,n/a,103421.8,0
11161,M,white,3.28,30,115072.0,0
11209,M,white,3.13,34,106005.0,0
14719,M,white,3.96,33,297219.0,0
4108,F,asian,4.0215000000000005,32,112586.84000000001,0
8880,F,black or african american,3.3914999999999997,33,213648.75,0
9952,M,hispanic or latino,3.6283999999999996,33,52306.89,0
13212,M,asian,4.011,31,192290.12,0
3939,M,asian,3.7275,31,83124.76000000001,0
15699,M,white,3.83,n/a,145834.0,0
10836,M,black or african american,3.0875,n/a,192706.29,0
559,M,white,3.62,n/a,94468.0,0
15988,F,white,3.44,32,115231.0,0
12429,M,white,3.07,31,56268.0,0
7403,F,asian,4.011,32,104796.28,0
2712,F,white,3.28,32,160767.0,1
13092,M,hispanic or latino,3.713,34,102411.68,1
19843,M,white,3.54,33,106867.0,0
8923,M,asian,3.2445,30,149665.6,0
9582,M,asian,3.4965,33,98505.32,0
13247,M,white,3.25,32,75871.0,0
16076,M,asian,3.7275,n/a,53261.560000000005,0
16064,F,white,3.06,36,115615.0,0
3995,F,asian,4.1475,35,66651.24,0
15303,F,white,3.32,34,223394.0,0
15257,F,white,3.83,n/a,214842.0,0
13539,F,asian,4.116,36,168468.56,0
741,M,white,3.33,31,140818.0,0
3507,F,black or african american,2.9734999999999996,32,77081.76,0
9332,M,asian,3.7380000000000004,32,122824.6,1
6839,M,asian,3.8325,n/a,106076.0,0
12006,M,white,3.16,n/a,122674.0,0
260,F,hispanic or latino,3.5907999999999998,29,61533.75,0
8665,M,white,3.69,n/a,126378.0,1
4269,M,white,3.31,33,103037.0,0
2382,M,asian,3.9270000000000005,34,146230.32,0
17307,F,hispanic or latino,3.525,32,46146.5,0
2730,F,hispanic or latino,3.7224,34,125797.86,0
14108,F,asian,3.948,36,139915.44,0
7945,M,white,3.54,n/a,231967.0,0
12699,F,hispanic or latino,3.2054,32,227981.4,0
13251,F,black or african american,3.743,n/a,76630.68000000001,0
13598,M,hispanic or latino,2.8293999999999997,35,17466.13,0
19001,F,asian,3.528,34,172160.52000000002,1
13014,F,hispanic or latino,3.102,33,61816.18,1
10053,M,hispanic or latino,3.7224,34,62373.72,0
5318,F,asian,3.2235,33,79829.32,0
9678,F,white,3.34,33,98078.0,0
9962,M,black or african american,3.5054999999999996,n/a,55126.89,1
16737,F,black or african american,3.4675,34,107331.21,1
15274,F,black or african american,3.496,35,52610.67,0
4243,M,white,3.11,36,206806.0,0
18526,M,asian,3.6435000000000004,36,95957.84000000001,0
11456,F,hispanic or latino,2.8857999999999997,33,68378.56,1
1286,M,hispanic or latino,3.5437999999999996,31,57405.27,0
12764,F,asian,3.6435000000000004,n/a,94750.8,0
8051,M,hispanic or latino,3.2148,34,13934.84,0
2489,M,white,3.38,29,169307.0,1
15044,M,asian,3.57,33,71479.40000000001,0
12630,M,white,3.19,n/a,149918.0,0
1905,M,white,3.5,29,105870.0,0
3195,M,white,3.9,33,90801.0,0
2427,M,white,3.78,n/a,81668.0,0
13439,F,asian,3.3810000000000002,34,161025.76,0
7763,F,white,3.03,34,79591.0,0
